字段含义	形象套装ID	形象套装名字	形象套装资源ID	形象套装HP	形象套装技能ID	形象套装描述	中文翻译	购买类型	形象套装价格	形象套装解锁条件ID	英雄类型	英雄排序	英雄new
字段说明	形象套装ID	形象套装名字	形象套装资源ID	形象套装HP	形象套装技能ID （可能会有多个请用英文字符;进行分割）	形象套装描述		0条件解锁 1金币 2钻石 3首冲赠送	形象套装价格	形象套装解锁条件ID（外联解锁条件表ID可能会有多个，请用因为;进行分割切忌）	1普通 2超级英雄	升序	0不显示1显示new标签
字段列名	id	name	skinId	hp	skillIds	skinDes		buy	skinPrice	unlockConditions	skinType	skinIndex	skinNew
字段类型	int	string	string	int	string	string		int	int	string	string	string	string
	1	弓箭手	1	5				0	0		1	1	0
	2	忍者	16	4	37	Obter pontuação de 2000(modo offline)	离线模式达到2000分	1	1000	2:05:2000	1	2	0
	3	海滩男孩	7	4	20	Obter pontuação de 4000(modo offline)	离线模式达到4000分	1	1000	2:05:4000	1	3	0
	4	跑男	14	4	72	Obter pontuação de 500(modo online)	在线模式达到500分	1	2000	1:05:500	1	4	0
	5	骑士	15	5	33	Obter pontuação de 3000(modo online)	在线模式达到3000分	1	2000	1:05:3000	1	5	0
	6	牛仔	13	5	102	Obter pontuação de 10000(modo online)	在线模式达到10000分	1	3000	1:05:10000	1	6	0
	7	甜心萝莉	2	4	94	Obter pontuação de 50000(modo offline)	离线线模式达到50000分	1	2000	2:05:50000	1	7	0
	8	勇士	3	5	21	Derrotar 200 inimigos(modo offline)	离线模式击败200敌方	1	2000	3:05:200	1	8	0
	9	密探	5	4	48	Derrotar 100 inimigos(modo online)	在线模式击败100敌方	1	2000	4:05:100	1	9	0
	10	魔法师	6	4	35	Derrotar 200 inimigos(modo online)	在线模式击败200敌方	1	2000	4:05:200	1	10	0
	11	激光战警	12	4	9	Derrotar 400 inimigos(modo online)	在线模式击败400敌方	1	3000	4:05:400	1	11	0
	12	黑暗骑士	8	6	37	Derrotar 600 inimigos(modo online)	在线模式击败600敌方	1	3000	4:05:600	1	12	0
	13	印第安	10	5	100	Derrotar 30 inimigos em uma batalha(modo offline)	一局游戏中击败30敌方（离线模式）	1	2000	12:05:30	1	13	0
	14	猎手	9	5	22	Derrotar 30 inimigos em uma batalha(modo online)	一局游戏中击败30敌方（在线模式）	1	2000	11:05:30	1	14	0
	15	吸血鬼	4	4	25	Login cumulativo por 2 dias	累计登录2天	0	0	5:05:2	1	21	0
	16	光剑客	11	5	98	Login cumulativo por 7 dias	累计登录7天	0	0	5:05:7	1	22	0
	17	疯狂原始人	17	6	19			2	250	5:05:10000	1	15	0
	18	机械战士	18	5	27			1	3000	5:05:10000	1	16	0
	19	大力士	19	5	39			1	2000	5:05:10000	1	17	0
	20	狙击手	20	4	30			1	2000	5:05:10000	1	18	0
	21	炸弹人	21	4	50			1	3000	5:05:10000	1	19	0
	22	死神	22	3	99;23			1	5000	5:05:10000	1	20	0
	137	机枪兵	137	5	56			3	0	5:05:10000	1	23	1
	142	JX-304	142	4	140;141			1	4000	5:05:10000	1	24	1
	101	神射手	1001	5				2	120	5:05:10000	2	1	0
	123	狸猫	16001	4	37			2	120	5:05:10000	2	2	0
	124	拳击手	7001	4	20			1	2000	5:05:10000	2	3	0
	104	超音速	14001	4	72			2	200	5:05:10000	2	4	0
	125	十字军	15001	5	33			2	200	5:05:10000	2	5	0
	126	淘金者	13001	5	102			2	120	5:05:10000	2	6	0
	107	可爱护士	2001	4	94			2	250	5:05:10000	2	7	0
	127	斯巴达	3001	5	21			1	4000	5:05:10000	2	8	0
	128	间谍	5001	4	48			2	200	5:05:10000	2	9	0
	129	大巫师	6001	4	35			2	120	5:05:10000	2	10	0
	130	飞行员	12001	4	9			2	250	5:05:10000	2	11	0
	131	影	8001	6	37			2	200	5:05:10000	2	12	0
	113	原住民	10001	5	100			2	200	5:05:10000	2	13	0
	132	猎人	9001	5	22			2	200	5:05:10000	2	14	0
	133	大亨	4001	4	25			2	120	5:05:10000	2	21	0
	134	毁灭者	11001	5	98			2	300	5:05:10000	2	22	0
	117	西服绅士	17001	6	19			2	250	5:05:10000	2	15	0
	118	未来战士	18001	5	27			2	200	5:05:10000	2	16	0
	135	萌萌兔	19001	5	39			2	400	5:05:10000	2	17	0
	120	枪王	20001	4	30			2	200	5:05:10000	2	18	0
	136	爆破人	21001	4	50			2	200	5:05:10000	2	19	0
	122	小丑	22001	3	99;23			2	250	5:05:10000	2	20	0
	139	TP-304	139	4	140;141			2	300	5:05:10000	2	24	1
	140	破坏者	140	5	56			2	250	5:05:10000	2	23	1
